,Date,Regular,Diesel
0,2022-08-29,3.85,5.06
1,2022-08-30,3.08,3.95
2,2022-08-31,3.53,4.4
3,2022-09-01,3.59,4.01
4,2022-09-02,3.54,4.92
5,2022-09-03,3.77,4.01
6,2022-09-04,3.51,3.91
7,2022-09-05,3.79,5.07
8,2022-09-06,3.52,4.47
9,2022-09-07,3.42,4.92
10,2022-09-08,3.92,4.28
11,2022-09-09,3.26,4.45
12,2022-09-10,3.53,3.83
13,2022-09-11,3.45,4.03
14,2022-09-12,3.72,5.01
15,2022-09-13,3.15,3.84
16,2022-09-14,3.54,5.07
17,2022-09-15,3.76,4.2
18,2022-09-16,3.6,3.79
19,2022-09-17,3.31,3.93
20,2022-09-18,3.6,4.49
21,2022-09-19,3.68,4.95
22,2022-09-20,3.68,4.04
23,2022-09-21,3.41,4.31
24,2022-09-22,3.65,3.84
25,2022-09-23,3.45,3.84
26,2022-09-24,3.83,4.28
27,2022-09-25,3.57,4.04
28,2022-09-26,3.73,4.9
29,2022-09-27,3.8,3.7
30,2022-09-28,3.85,4.49
31,2022-09-29,3.8,4.28
32,2022-09-30,3.07,3.93
33,2022-10-01,3.11,3.92
34,2022-10-02,3.4,4.19
35,2022-10-03,3.8,4.87
36,2022-10-04,3.68,3.79
37,2022-10-05,3.4,3.91
38,2022-10-06,3.77,4.01
39,2022-10-07,3.6,4.68
40,2022-10-08,3.87,4.4
41,2022-10-09,3.1,4.58
42,2022-10-10,3.92,5.06
43,2022-10-11,3.42,5.22
44,2022-10-12,3.11,3.92
45,2022-10-13,3.55,3.93
46,2022-10-14,3.63,4.45
47,2022-10-15,3.83,3.87
48,2022-10-16,3.53,5.07
49,2022-10-17,3.89,5.28
50,2022-10-18,3.35,4.68
51,2022-10-19,3.37,3.77
52,2022-10-20,3.76,4.35
53,2022-10-21,3.58,4.29
54,2022-10-22,3.85,4.28
55,2022-10-23,3.54,5.31
56,2022-10-24,3.79,5.33
57,2022-10-25,3.08,4.03
58,2022-10-26,3.47,3.86
59,2022-10-27,3.41,3.95
60,2022-10-28,3.51,4.58
61,2022-10-29,3.76,4.46
62,2022-10-30,3.08,4.19
63,2022-10-31,3.76,5.31
64,2022-11-01,3.73,4.28
65,2022-11-02,3.73,4.6
66,2022-11-03,3.47,3.84
67,2022-11-04,3.81,4.03
68,2022-11-05,3.58,4.68
69,2022-11-06,3.24,3.87
70,2022-11-07,3.8,5.34
71,2022-11-08,3.22,4.47
72,2022-11-09,3.53,4.17
73,2022-11-10,3.22,5.06
74,2022-11-11,3.68,3.87
75,2022-11-12,3.68,4.68
76,2022-11-13,3.13,4.38
77,2022-11-14,3.77,5.36
78,2022-11-15,3.45,4.62
79,2022-11-16,3.79,4.49
80,2022-11-17,3.44,4.58
81,2022-11-18,3.4,3.93
82,2022-11-19,3.54,4.95
83,2022-11-20,3.58,5.36
84,2022-11-21,3.66,5.3
85,2022-11-22,3.85,4.0
86,2022-11-23,3.5,4.03
87,2022-11-24,3.81,4.62
88,2022-11-25,3.41,3.92
89,2022-11-26,3.47,3.91
90,2022-11-27,3.47,5.08
91,2022-11-28,3.55,5.22
92,2022-11-29,3.4,5.36
93,2022-11-30,3.7,4.38
94,2022-12-01,3.26,3.84
95,2022-12-02,3.67,5.36
96,2022-12-03,3.88,3.85
97,2022-12-04,3.57,3.92
98,2022-12-05,3.4,5.08
99,2022-12-06,3.85,3.79
100,2022-12-07,3.07,4.68
101,2022-12-08,3.42,4.35
102,2022-12-09,3.41,4.03
103,2022-12-10,3.35,3.77
104,2022-12-11,3.14,4.48
105,2022-12-12,3.26,4.92
106,2022-12-13,3.68,4.03
107,2022-12-14,3.07,3.93
108,2022-12-15,3.57,4.35
109,2022-12-16,3.11,4.03
110,2022-12-17,3.53,3.98
111,2022-12-18,3.47,4.35
112,2022-12-19,3.14,4.77
113,2022-12-20,3.37,4.29
114,2022-12-21,3.63,4.58
115,2022-12-22,3.54,3.98
116,2022-12-23,3.41,5.34
117,2022-12-24,3.47,4.2
118,2022-12-25,3.58,4.62
119,2022-12-26,3.1,4.68
120,2022-12-27,3.73,4.02
121,2022-12-28,3.54,4.68
122,2022-12-29,3.66,5.06
123,2022-12-30,3.68,4.04
124,2022-12-31,3.54,3.9
125,2023-01-01,3.41,5.28
126,2023-01-02,3.22,4.68
127,2023-01-03,3.59,4.41
128,2023-01-04,3.51,5.01
129,2023-01-05,3.68,4.04
130,2023-01-06,3.6,3.91
131,2023-01-07,3.13,4.6
132,2023-01-08,3.55,3.97
133,2023-01-09,3.28,4.65
134,2023-01-10,3.4,4.04
135,2023-01-11,3.53,4.2
136,2023-01-12,3.88,4.01
137,2023-01-13,3.15,4.62
138,2023-01-14,3.51,3.83
139,2023-01-15,3.42,4.48
140,2023-01-16,3.31,4.6
141,2023-01-17,3.25,4.23
